,Type,City,Address,Area,Price,Bathrooms,Bedrooms,Listig Time,link
0,Flat,Lahore,"Bahria Town - Johar Block, Bahria Town - Sector E, Bahria Town, Lahore, Punjab",1.6 Marla,62.05 Lakh,1 Bath,-,9 hours ago,https://www.zameen.com//Property/bahria_town_sector_e_bahria_town_-_johar_block_exclusive_studio_facing_eiffel_tower_parks_fountains_grand_14-52374156-1809-1.html
1,Flat,Lahore,"Bahria Town - Sector E, Bahria Town, Lahore, Punjab",2.2 Marla,65 Lakh,1 Bath,1 Bed,10 hours ago,https://www.zameen.com//Property/bahria_town_bahria_town_-_sector_e_ready_2_move_apartments_for_sale_in_bahira_town_lahore-50175391-1802-1.html
2,Flat,Lahore,"Bahria Town - Tauheed Block, Bahria Town - Sector F, Bahria Town, Lahore, Punjab",2.4 Marla,65 Lakh,1 Bath,1 Bed,1 day ago,https://www.zameen.com//Property/bahria_town_sector_f_bahria_town_-_tauheed_block_book_one_bed_luxury_apartment_in_6_5_lakh_in_tauheed_sector_f_bahria_town_lahore-50382634-11864-1.html
3,Flat,Lahore,"Bahria Town - Sector E, Bahria Town, Lahore, Punjab",2.3 Marla,45 Lakh,1 Bath,1 Bed,1 day ago,https://www.zameen.com//Property/bahria_town_bahria_town_-_sector_e_possession_at_50_ready_to_move_1_bed_apartment_for_sale_in_nishtar_block_bahria_town_lahore-52127945-1802-1.html
4,Flat,Lahore,"Askari 10 - Sector F, Askari 10, Askari, Lahore, Punjab",12.2 Marla,4.8 Crore,5 Baths,4 Beds,1 day ago,https://www.zameen.com//Property/askari_10_askari_10_-_sector_f_this_is_a_4-bedroom_apartment_with_all_amenities_in_askari_10-52994459-10542-1.html
5,Flat,Lahore,"Penta Square By DHA Lahore, DHA Phase 5, DHA Defence, Lahore, Punjab",7.7 Marla,4.5 Crore,4 Baths,3 Beds,2 hours ago,https://www.zameen.com//Property/dha_phase_5_penta_square_by_dha_lahore_luxury_3_bedrooms_apartment_at_penta_square_dha_phase_5_high_rental_value-52979148-11845-1.html
6,Flat,Lahore,"Etihad Town Phase 1, Etihad Town, Raiwind Road, Lahore, Punjab",4.4 Marla,99 Lakh,2 Baths,2 Beds,10 hours ago,https://www.zameen.com//Property/etihad_town_etihad_town_phase_1_2_beds_luxury_townhouse_is_for_sale_on_2_year_s_easy_installment_plan-53110654-16882-1.html
7,Flat,Lahore,"Bahria Town - Johar Block, Bahria Town - Sector E, Bahria Town, Lahore, Punjab",2.9 Marla,80 Lakh,1 Bath,1 Bed,11 hours ago,https://www.zameen.com//Property/bahria_town_sector_e_bahria_town_-_johar_block_one_bkh_furnished_apartment_on_installment_facing_eiffel_tower_bahria_town_lahore-53042197-1809-1.html
8,Flat,Lahore,"Bahria Town - Sector C, Bahria Town, Lahore, Punjab",1.8 Marla,59 Lakh,1 Bath,1 Bed,12 hours ago,https://www.zameen.com//Property/bahria_town_bahria_town_-_sector_c_fully_furnished_1-bed_flat_for_sale_bahria_town_lahore_sector_c-52973828-1784-1.html
9,Flat,Lahore,"NSIT City, DHA Defence, Lahore, Punjab",2 Marla,1.75 Crore,1 Bath,1 Bed,13 hours ago,https://www.zameen.com//Property/dha_defence_nsit_city_limited_investor_deal_one_bed_apartments_guranteed_114_roi_investment_double_in_4_years_-_call_now-53111854-22290-1.html
10,Flat,Lahore,"Bahria Town - Iqbal Block, Bahria Town - Sector E, Bahria Town, Lahore, Punjab",3.3 Marla,1.25 Crore,2 Baths,2 Beds,7 hours ago,https://www.zameen.com//Property/bahria_town_sector_e_bahria_town_-_iqbal_block_2_beds_apartment_for_sale_in_bahria_town_lahore-50807213-1805-1.html
11,Flat,Lahore,"Midway Commercial, Bahria Town, Lahore, Punjab",2.1 Marla,76 Lakh,1 Bath,1 Bed,9 hours ago,https://www.zameen.com//Property/bahria_town_midway_commercial_elegance_redefined_one-bed_luxury_apartments_for_sale_in_bahria_town_grand_11-52367971-21559-1.html
